### SETTING ##########################################

row_id,USERID,TIMESTAMP,gender,currentRoutine,DOB,name,length,mass,dbversion,vibration,alarm,timer,sets,targetrep,age,zonedifference,location,use_location,screenon,auto_lock,lastlogs,preloadreps,exp_level,fit_goal,audio_reminder,audio_exercise_tips,audio_personal_tips
85232628,10669995,"2023-05-04 02:59:14",M,1670140732,1974-06-17,," inches"," lbs",,,,60,3,10,0,-7,,0,1,1,0,0,0,0,0,0,0


######################################################

### PROFILE ##########################################

row_id,USERID,TIMESTAMP,_id,mydate,weight,fatpercent,chest,arms,waist,calves,height,hips,thighs,shoulders,neck,forearms,logTime
129926930,10669995,"2022-12-13 17:41:44",1,2022-12-04,0,0,0,0,0,0,69,0,0,0,0,0,0
129926931,10669995,"2022-12-13 17:41:44",2,2022-12-04,219,0,0,0,0,0,69,0,0,0,0,0,0
130676529,10669995,"2022-12-16 01:10:09",100000,2022-12-16,0,0,0,0,0,0,0,0,0,0,0,0,1671177600


######################################################

### ROUTINES #########################################

row_id,USERID,TIMESTAMP,_id,name,difficulty,focus,dayaweek,description,daytype,tags,rdb_id,bannerCode
46281678,10669995,"2023-04-07 03:01:52",1,"MonsterGains Mash",0,0,4,"Enter your routine description",0," ",0,

row_id,USERID,TIMESTAMP,package,_id,name,day,dayIndex,interval_mode,rest_day
230086397,10669995,"2023-04-07 03:01:52",1,3,Chest/Arms/Back,8,8,0,0

2740850987,10669995,"2023-04-01 00:01:05",1,0,255,1260,6,"Machine Deltoid Raise",3,60,"65x12,75x10,85x8",0,7,10,3,1680305989,0,sec

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit
2740850984,10669995,"2023-04-01 00:01:05",1,0,251,876,6,"Leverage Shoulder Press",3,60,"90x12,100x9,110x6",6,8,10,3,1680306870,0,sec

row_id,USERID,TIMESTAMP,belongSys,superset,_id,exercise_id,belongplan,exercisename,setcount,timer,logs,bodypart,mysort,targetrep,setdone,setdonetime,interval_time,interval_unit
2740850983,10669995,"2023-04-01 00:01:05",1,0,250,29,6,"Dumbbell One-Arm Front Raise",3,60,"15x24,20x20,22x16",6,9,10,3,1680307250,0,sec


row_id,USERID,TIMESTAMP,_id,name,difficulty,focus,dayaweek,description,daytype,tags,rdb_id,bannerCode
44974645,10669995,"2022-12-13 17:41:44",1670140731,"Back & Chest: 2-Day Plan",0,0,2,"This 2-day, beginner, strength program targets your back and chest muscles. 

In session one, you'll focus exclusively on strength machines. There are 8 different exercises split evenly between back and chest.

The second workout session targets the same muscle groups but with free weights only. There are 6 exercises divided evenly between your back and chest.



Enjoy & Stay Strong,


MICHAEL WOOD, CSCS
Jefit Team",1," ",348886,6481b80e935f37b0

